patent_1_id,patent_2_id,patent_1_date,patent_2_date,patent_1_inventor,patent_2_inventor,is_same
11475623,10444817,2022-10-18,2019-10-15,fl:ab_ln:appu-1,fl:ab_ln:appu-1,1
11475623,10395623,2022-10-18,2019-08-27,fl:ab_ln:appu-1,fl:ab_ln:appu-1,1
11475623,10467796,2022-10-18,2019-11-05,fl:ab_ln:appu-1,fl:ab_ln:appu-1,1
11475623,10402933,2022-10-18,2019-09-03,fl:ab_ln:appu-1,fl:ab_ln:appu-1,1
11475623,11473533,2022-10-18,2022-10-18,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0
11475623,10444767,2022-10-18,2019-10-15,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0
11475623,10393071,2022-10-18,2019-08-27,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0
11475623,10464564,2022-10-18,2019-11-05,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0
11475623,10401853,2022-10-18,2019-09-03,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0
11475623,11477488,2022-10-18,2022-10-18,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0
11475623,10448039,2022-10-18,2019-10-15,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0
11475623,10397580,2022-10-18,2019-08-27,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0
11475623,10469862,2022-10-18,2019-11-05,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0
11475623,10402674,2022-10-18,2019-09-03,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0
11475623,11477598,2022-10-18,2022-10-18,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0
11475623,10448186,2022-10-18,2019-10-15,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0
11475623,10397722,2022-10-18,2019-08-27,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0
11475623,10466063,2022-10-18,2019-11-05,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0
11475623,10402984,2022-10-18,2019-09-03,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0
11475623,11477558,2022-10-18,2022-10-18,fl:ab_ln:appu-1,fl:be_ln:shaffer-3,0
11475623,D863356,2022-10-18,2019-10-15,fl:ab_ln:appu-1,fl:be_ln:shaffer-3,0
11475623,D857546,2022-10-18,2019-08-27,fl:ab_ln:appu-1,fl:be_ln:shaffer-3,0
11475623,D865536,2022-10-18,2019-11-05,fl:ab_ln:appu-1,fl:be_ln:shaffer-3,0
11475623,D858514,2022-10-18,2019-09-03,fl:ab_ln:appu-1,fl:be_ln:shaffer-3,0
10444817,10395623,2019-10-15,2019-08-27,fl:ab_ln:appu-1,fl:ab_ln:appu-1,1
10444817,10467796,2019-10-15,2019-11-05,fl:ab_ln:appu-1,fl:ab_ln:appu-1,1
10444817,10402933,2019-10-15,2019-09-03,fl:ab_ln:appu-1,fl:ab_ln:appu-1,1
10444817,11473533,2019-10-15,2022-10-18,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0
10444817,10444767,2019-10-15,2019-10-15,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0
10444817,10393071,2019-10-15,2019-08-27,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0
10444817,10464564,2019-10-15,2019-11-05,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0
10444817,10401853,2019-10-15,2019-09-03,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0
10444817,11477488,2019-10-15,2022-10-18,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0
10444817,10448039,2019-10-15,2019-10-15,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0
10444817,10397580,2019-10-15,2019-08-27,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0
10444817,10469862,2019-10-15,2019-11-05,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0
10444817,10402674,2019-10-15,2019-09-03,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0
10444817,11477598,2019-10-15,2022-10-18,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0
10444817,10448186,2019-10-15,2019-10-15,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0
10444817,10397722,2019-10-15,2019-08-27,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0
10444817,10466063,2019-10-15,2019-11-05,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0
10444817,10402984,2019-10-15,2019-09-03,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0
10444817,11477558,2019-10-15,2022-10-18,fl:ab_ln:appu-1,fl:be_ln:shaffer-3,0
10444817,D863356,2019-10-15,2019-10-15,fl:ab_ln:appu-1,fl:be_ln:shaffer-3,0
10444817,D857546,2019-10-15,2019-08-27,fl:ab_ln:appu-1,fl:be_ln:shaffer-3,0
10444817,D865536,2019-10-15,2019-11-05,fl:ab_ln:appu-1,fl:be_ln:shaffer-3,0
10444817,D858514,2019-10-15,2019-09-03,fl:ab_ln:appu-1,fl:be_ln:shaffer-3,0
10395623,10467796,2019-08-27,2019-11-05,fl:ab_ln:appu-1,fl:ab_ln:appu-1,1
10395623,10402933,2019-08-27,2019-09-03,fl:ab_ln:appu-1,fl:ab_ln:appu-1,1
10395623,11473533,2019-08-27,2022-10-18,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0
10395623,10444767,2019-08-27,2019-10-15,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0
10395623,10393071,2019-08-27,2019-08-27,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0
10395623,10464564,2019-08-27,2019-11-05,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0
10395623,10401853,2019-08-27,2019-09-03,fl:ab_ln:appu-1,fl:ae_ln:dudar-1,0
10395623,11477488,2019-08-27,2022-10-18,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0
10395623,10448039,2019-08-27,2019-10-15,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0
10395623,10397580,2019-08-27,2019-08-27,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0
10395623,10469862,2019-08-27,2019-11-05,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0
10395623,10402674,2019-08-27,2019-09-03,fl:ab_ln:appu-1,fl:by_ln:jeon-110,0
10395623,11477598,2019-08-27,2022-10-18,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0
10395623,10448186,2019-08-27,2019-10-15,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0
10395623,10397722,2019-08-27,2019-08-27,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0
10395623,10466063,2019-08-27,2019-11-05,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0
10395623,10402984,2019-08-27,2019-09-03,fl:ab_ln:appu-1,fl:ar_ln:lehtiniemi-2,0
10395623,11477558,2019-08-27,2022-10-18,fl:ab_ln:appu-1,fl:be_ln:shaffer-3,0
10395623,D863356,2019-08-27,2019-10-15,fl:ab_ln:appu-1,fl:be_ln:shaffer-3,0
10395623,D857546,2019-08-27,2019-08-27,fl:ab_ln:appu-1,fl:be_ln:shaffer-3,0
10395623,D865536,2019-08-27,2019-11-05,fl:ab_ln:appu-1,fl:be_ln:shaffer-3,0
10395623,D858514,2019-08-27,2019-09-03,fl:ab_ln:appu-1,fl:be_ln:shaffer-3,0
