Unnamed: 0,patent_id,inventor_id,patent_date,num_im
981,11473761,fl:da_ln:gist-1,2022-10-18,11
982,11473761,fl:jo_ln:cedar-2,2022-10-18,11
983,11473761,fl:me_ln:abbruzzi-1,2022-10-18,11
984,11473761,fl:an_ln:ljunggren-1,2022-10-18,11
985,11473761,fl:an_ln:laska-1,2022-10-18,11
7385,10403680,fl:se_ln:nonoguchi-1,2019-09-03,18
7386,10403680,fl:hi_ln:sei-2,2019-09-03,18
7387,10403680,fl:ta_ln:sone-2,2019-09-03,18
7388,10403680,fl:ka_ln:ohba-6,2019-09-03,18
7389,10403680,fl:mi_ln:ikarashi-2,2019-09-03,18
9229,10392324,fl:jo_ln:porter-7,2019-08-27,18
9230,10392324,fl:ga_ln:agrawal-4,2019-08-27,18
9231,10392324,fl:si_ln:guo-1,2019-08-27,18
9232,10392324,fl:da_ln:pilliod-1,2019-08-27,18
9233,10392324,fl:yo_ln:kawajiri-1,2019-08-27,18
9234,10392324,fl:mi_ln:weber-9,2019-08-27,18
9235,10392324,fl:ja_ln:bentley-9,2019-08-27,18
9236,10392324,fl:mi_ln:salciccioli-1,2019-08-27,18
10069,10446319,fl:mi_ln:park-99,2019-10-15,15
10070,10446319,fl:yo_ln:ahn-14,2019-10-15,15
17003,10466298,fl:cr_ln:petrie-1,2019-11-05,23
17004,10466298,fl:aa_ln:cook-1,2019-11-05,23
17005,10466298,fl:vi_ln:chaware-1,2019-11-05,23
17752,10442767,fl:ch_ln:chen-542,2019-10-15,64
17753,10442767,fl:pe_ln:brugarolas-1,2019-10-15,64
17754,10442767,fl:da_ln:appelbaum-1,2019-10-15,64
17755,10442767,fl:br_ln:popko-1,2019-10-15,64
18160,10470162,fl:ha_ln:seo-47,2019-11-05,17
18161,10470162,fl:su_ln:jung-228,2019-11-05,17
18424,10465342,fl:we_ln:buschman-1,2019-11-05,14
19496,10405191,fl:vi_ln:mushunuri-1,2019-09-03,33
19497,10405191,fl:he_ln:rath-2,2019-09-03,33
19498,10405191,fl:an_ln:simha-1,2019-09-03,33
19499,10405191,fl:bi_ln:panigrahi-1,2019-09-03,33
20018,11474875,fl:ne_ln:camino-1,2022-10-18,35
